FERREIRA,29131
SAUCEDO,29108
MACKEY,29103
FRANKS,29066
WHITFIELD,29052
KENDALL,28998
SWEET,28989
WELSH,28953
DUONG,28934
HOLLEY,28921
CABALLERO,28902
CHACON,28806
BACON,28803
CROWE,28803
ZEPEDA,28772
BYRNE,28742
CHILDERS,28730
CASH,28715
ELDER,28711
MAYFIELD,28711
ALSTON,28708
RODRIGUES,28708
CONNOLLY,28669
SUTHERLAND,28660
KIRKLAND,28647
MEEKS,28638
VIGIL,28574
TALLEY,28562
HEWITT,28525
GIBBONS,28478
LEMUS,28467
CRAMER,28465
WYNN,28437
RICHTER,28434
CAMP,28427
CONNOR,28409
DALE,28382
ENGLAND,28381
RATLIFF,28350
MCALLISTER,28274
RITCHIE,28266
SHARPE,28263
HELMS,28231
GOLDBERG,28177
TRACY,28161
GOLDSTEIN,28108
MORIN,28060
ONEIL,28057
KESSLER,28055
FARRIS,28047
GILLIAM,28041
ARREDONDO,28020
HYDE,28009
PATE,27998
GODFREY,27953
ROSADO,27943
JOYNER,27913
TYSON,27872
CHILDS,27853
HATCHER,27844
CHAMBERLAIN,27832
CARRANZA,27830
CHIN,27823
SORENSEN,27819
ROMANO,27782
DOWNING,27775
MOBLEY,27771
BRITTON,27730
HAINES,27705
ESCOBEDO,27650
HICKEY,27647
KAPLAN,27627
GRACE,27610
HILTON,27585
CORONADO,27539
BERMUDEZ,27437
HOLCOMB,27413
PAREDES,27350
SINCLAIR,27347
RANKIN,27295
KNOWLES,27231
ARTHUR,27204
KERN,27153
DYE,27118
AQUINO,27107
PAZ,27105
WOMACK,27087
HOLLIS,27084
VARELA,27044
MADISON,27036
FOREMAN,27034
GIL,27026
LYON,26997
FINK,26995
WILLS,26978
DELATORRE,26920
HASTINGS,26903
DOHERTY,26897
RENTERIA,26887
LOCKHART,26866
QUIROZ,26865
DENTON,26745
OLVERA,26722
HE,26687
MCCRAY,26678
MANUEL,26670
THAO,26668
RUTHERFORD,26667
SYKES,26650
PIERSON,26626
SARGENT,26620
HATCH,26612
MONTANO,26592
DWYER,26585
BURKS,26569
BELCHER,26554
PRYOR,26548
BOGGS,26542
MADRID,26510
GABRIEL,26489
TUTTLE,26486
BACA,26483
MAGEE,26445
MULLER,26426
JAMISON,26400
RAHMAN,26383
FONSECA,26380
CARMONA,26379
MCKENNA,26305
DOLAN,26300
BROUSSARD,26277
BURGOS,26230
LOUIS,26229
SORIANO,26178
COVINGTON,26160
SLAUGHTER,26158
KENDRICK,26142
LANGLEY,26134
KENNEY,26131
LEYVA,26104
MADRIGAL,26085
CAO,26062
GRANADOS,26058
MCGILL,26057
BOYCE,26044
HOPPER,26014
HEAD,26001
DEMPSEY,25900
SHEEHAN,25895
QUEZADA,25879
HARDEN,25878
MCNAMARA,25856
COURTNEY,25782
PUCKETT,25781
LOCKE,25742
IBRAHIM,25717
MICHEL,25704
CLEMONS,25688
CORBIN,25683
BURT,25595
STINSON,25595
WEBBER,25561
POLK,25517
MCGINNIS,25512
CASSIDY,25508
ROMO,25500
AVILES,25475
RICO,25453
RUCKER,25451
HERRON,25450
HINOJOSA,25442
LOTT,25441
SHIRLEY,25421
STERLING,25411
BLAND,25402
HAMM,25397
DICKINSON,25393
GOMES,25393
RUTLEDGE,25388
DOWNEY,25382
DUNBAR,25377
PIKE,25377
ROBISON,25371
WHITLEY,25367
JACOB,25360
OCAMPO,25342
CHRISTOPHER,25312
ELIAS,25310
SIMMS,25308
GAMEZ,25307
GUSTAFSON,25297
JUNG,25281
KIRKPATRICK,25272
BURRIS,25269
NIETO,25256
NICHOLAS,25235
BINGHAM,25224
GOSS,25218
MEIER,25215
PINA,25202
FRASER,25192
BOWLING,25189
CORBETT,25154
ROUSE,25128
ROSSI,25108
GRADY,25079
COUCH,25074
OTT,25045
AREVALO,25031
DEWITT,25012
YANEZ,24999
GARLAND,24966
ARAGON,24937
WOODRUFF,24934
DASILVA,24905
SERNA,24846
CRABTREE,24808
SINGER,24788
JEAN,24740
CANALES,24681
ELMORE,24664
ROE,24654
MACHADO,24651
STERN,24632
WESTON,24628
SAMUEL,24616
FRANCISCO,24614
SHAFER,24605
HUTCHINS,24600
SIMONS,24590
ABRAMS,24536
DALEY,24507
SMART,24507
EMERY,24499
BATTLE,24481
VINSON,24417
GLEASON,24410
MCCLELLAN,24392
BEATTY,24371
HERBERT,24361
SCHUMACHER,24358
GIVENS,24350
WORLEY,24345
SEYMOUR,24319
PLUMMER,24308
THOMSON,24308
ROSENBERG,24305
ERVIN,24250
VELA,24228
HUTCHISON,24214
ALBRIGHT,24202
ELDRIDGE,24175
URIBE,24173
BLUE,24162
ZIEGLER,24112
SOLANO,24102
NIX,24093
SWARTZ,24070
GREENWOOD,24066
GREGG,24054
SWAIN,24047
EDMONDS,24037
PAGAN,24020
LESLIE,24015
SCHAFER,24003
BRANDON,23986
QUICK,23981
CURRAN,23943
REYNOSO,23943
GORE,23940
TIPTON,23933
GRIGGS,23918
LOWRY,23918
HELTON,23871
REECE,23834
YARBROUGH,23825
HIDALGO,23791
AKERS,23773
BUSTAMANTE,23741
GROVES,23737
HOSKINS,23730
ACKERMAN,23716
TOMLINSON,23710
QUINTANILLA,23700
FISH,23685
SWIFT,23678
CHILDRESS,23642
MAYES,23637
PADGETT,23628
MANLEY,23615
COFFMAN,23609
ANAYA,23605
ANGEL,23588
LUND,23550
HELLER,23521
SCHMITZ,23516
KURTZ,23509
MCELROY,23509
MEREDITH,23456
BURRELL,23451
TOLBERT,23449
BENAVIDES,23443
CROW,23432
FIELD,23423
ELKINS,23416
SCHULZ,23413
PRADO,23397
TATUM,23395
MOHAMMED,23378
DRAPER,23360
CLIFTON,23350
FUNK,23348
SANDERSON,23313
NAVARRETE,23279
BOWDEN,23246
STOVER,23246
METCALF,23245
BLOOM,23202
GUNTER,23190
POE,23182
ALEMAN,23179
OLIVARES,23163
MCCAULEY,23117
MONTALVO,23112
HOLBROOK,23103
MCGHEE,23091
TEAGUE,23089
WALDEN,23046
CROWDER,23042
BUCKNER,23041
CROCKETT,23014
MCKINLEY,23014
WHALEN,22998
CABRAL,22994
SHIN,22958
DESAI,22954
BLANTON,22938
MATOS,22885
TOMPKINS,22884
DEVINE,22877
KAUFFMAN,22869
GUNN,22857
DRISCOLL,22852
CHAPPELL,22833
NEWSOME,22832
GEE,22826
HOLLINGSWORTH,22814
SHAPIRO,22812
CREWS,22811
NANCE,22809
CLEMENT,22799
STROUD,22794
STEINER,22741
GOLDMAN,22740
DOOLEY,22735
KAY,22730
SOUZA,22730
INMAN,22714
COATES,22700
KIMBALL,22663
AMADOR,22652
DREW,22649
LARKIN,22649
MCMANUS,22638
DOAN,22632
CONKLIN,22618
